input_text,match_center,master_id
sindhi vidyalaya girls inter college lucknow uttar pradesh ram nagar alambagh lucknow,SINDHI VIDYALAYA GIRLS INTER COLLEGE,47251
vidyant hindu inter college lucknow uttar pradesh gautam budh marg aminabad lucknow,VIDYANT HINDU INTER COLLEGE,47001
bav inter college meerut uttar pradesh subash bazar near kotwali,B.A.V. INTER COLLEGE,53005
deva nagri college meerut meerut uttar pradesh railway road chopla,DEV NAGRI COLLEGE,53101
durgabari a b girls inter college meerut uttar pradesh kabari bazar dayanand path meerut cantt meerut,DURGABARI A.B.GIRLS INTER COLLEGE,53023
ismail national mahila pg college meerut meerut uttar pradesh budhana gate near hanuman mandir meerut,ISMAIL NATIONAL MAHILA PG COLLEGE,53113
jaswant mills inter college meerut meerut uttar pradesh baghpat road maliyana meerut,JASWANT MILLS INTER COLLEGE,53046
khalsa kanya inter college meerut meerut uttar pradesh gurudwara road thapar nagar meerut,KHALSA KANYA INTER COLLEGE,53017
kisan inter college meerut uttar pradesh gurunanak bazar kankarkhera,KISAN INTER COLLEGE,53012
n a s college eastern kutchery road meerut meerut uttar pradesh eastern kutchery road meerut,N. A. S. COLLEGE,53236
pt bakshidas smarak inter college meerut uttar pradesh zahidpur hapur road lohiya nagar,PANDIT BAKHSHI DAS SMARAK INTER COLLEGE,53052
ram sahai inter college meerut uttar pradesh garh road near soharab gate bus stand,RAM SAHAY INTER COLLEGE,53008
ssv inter college meerut uttar pradesh vill murlipur garh road,S S V INTER COLLEGE,53062
sanatan dharam inter college meerut uttar pradesh chhota bazar subash puri kankerkhera,SANATAN DHARAM INTER COLLEGE,53003
sardar patel municipal inter college meerut uttar pradesh sharda road brahampuri delhi gate,SARDAR PATEL MUNICIPAL INTER COLLEGE,53007
seth b k maheshwari balika inter college meerut uttar pradesh sarai lal das,SETH B K MAHESHWARI BALIKA INTER COLLEGE,53053
shri mahavir shiksha sadan inter college meerut uttar pradesh jain nagar,SRI MAHAVEER SHIKSHA SADAN INTER COLLEGE,53024
shri sanatan kanya inter college meerut uttar pradesh budhana gate near hanuman mandir,SHRI SANATAN DHARM KANYA INTER COLLEGE,53054
shrimati sushila devi vansthali balika inter college meerut uttar pradesh hawai patti road partapur,SMT. SHUSHILA DEVI VANSTHALI BALIKA INTER COLLEGE,53021
st joseph inter college meerut uttar pradesh 96 church street,ST. JOSEPHS INTER COLLEGE,53045
trishla devi kanohar lal balika inter college meerut uttar pradesh sharda road brahampuri,TRISHLA DEVI KANOHAR LAL BALIKA INTER COLLEGE,53198
agrasen inter college prayagraj uttar pradesh lukerganj near leader press,AGRASEN INTER COLLEGE,3236
allahabad inter college prayagraj uttar pradesh 1118 sc basu road,ALLAHABAD INTER COLLEGE,3251
colonelganj inter college prayagraj uttar pradesh 51 anukool chandra banarjee marg tagore town,COLONEL GANJ INTER COLLEGE,3127
dav inter college prayagraj uttar pradesh 93b meerapur near lalita devi mandir,D. A. V. INTER COLLEGE,3095
drkp jaiswal inter college prayagraj uttar pradesh 704 mutthiganj near gaughat petrol pump,DR. K P JAISWAL INTER COLLEGE,3250
hindu mahila school inter college prayagraj uttar pradesh 2346 mg marg civil lines,HINDU MAHILA VIDYALAYA INTER COLLEGE,3002
ishwar sharan inter college prayagraj uttar pradesh salori teliyarganj,ISWAR SARAN GIRLS INTER COLLEGE,3175
kp inter college prayagraj uttar pradesh mahatma gandhi marg medical chauraha,KULBHASKAR ASHRAM KRISHI INTER COLLEGE,3305
kulbhaskar ashram inter college prayagraj uttar pradesh mahatma gandhi marg medical chauraha,KULBHASKAR ASHRAM KRISHI INTER COLLEGE,3305
lala manmohan das inter college prayagraj uttar pradesh ahirana tola jhunsi,LALA MANMOHAN DAS INTER COLLEGE,3109
mahila seva sadan inter college prayagraj uttar pradesh 275 new bairhana gt road,MAHILA SEWA SADAN INTER COLLEGE,3132
rajkiya balika inter college prayagraj uttar pradesh swaroop rani,RAJKEEYA BALIKA INTER COLLEGE,3249
sewa samiti vidya mandir inter college prayagraj uttar pradesh rambagh,SEVA SAMITI VIDYA MANDIR INTER COLLEGE,3006
shiv charan das kanhaiya lal inter college prayagraj uttar pradesh 23519 atarsuiya road,SHIV CHARAN DAS KANHAIYA LAL INTER COLLEGE,3154
shri guru tegh bahadur khalsa girls inter college prayagraj uttar pradesh 4 gadiyan tola khuldabad,SRI GURU TEG BAHADUR KHALSA GIRLS INTER COLLEGE,3071
besant therosophical higher secondary school varanasi uttar pradesh rathyatra crossing anybasent road kamachcha varanasi,BESANT THEOSOPHICAL HIGHER SECONDARY SCHOOL,71002
cm anglo bengali college varanasi uttar pradesh bhelupur varanasi,C. M. ANGLO BENGALI COLLEGE,71092
govt queen s inter college varanasi varanasi uttar pradesh lahurabir varanasi,GOVT. QUEENS INTER COLLEGE,71040
harish chandra intermediate college varanasi varanasi uttar pradesh maidagin varanasi,HARISH CHANDRA INTERMEDIATE COLLEGE,71015
kamla pati tripathi boys inter college varanasi uttar pradesh cantt varanasi,KAMLAPATI TRIPATHI BOYS INTER COLLEGE,71005
kasturba balika inter college varanasi uttar pradesh ardali bazar mahaveer mandir ke opposit,KASTURBA BALIKA INTER COLLEGE,71030
mahabodhi inter college varanasi uttar pradesh sarnath varanasi,MAHABODHI INTER COLLEGE,71035
shree ram krishan vidya mandir inter college varanasi uttar pradesh siddhigiri bag sigra varanasi,SRI RAM KRISHNA VIDYA MANDIR INTER COLLEGE,71089
